X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
8,3.02,5.41,1156,1277,126,1378,-8.04,-0.86,5.06,1067,1302,1683,1083,745,CAMERA
5.33,4.86,4.28,1165,1294,123,1383,-7.69,0.75,5.41,1069,1296,1683,1078,651,CAMERA
4.04,6.55,4.04,1153,1274,123,1354,-7.22,2.04,6.63,1073,1280,1683,1080,640,CAMERA
2,6.79,4.98,1168,1283,131,1379,-6.39,2.9,7.65,1076,1328,1682,1087,637,CAMERA
1.33,6.63,5.49,1181,1280,128,1371,-4.47,3.65,7.45,1077,1327,1698,1088,634,CAMERA
1.1,6.47,5.88,1168,1277,128,1374,-4.2,4.08,7.57,1088,1237,1697,1086,635,CAMERA
0.9,7.45,6.43,1168,1290,128,1404,-5.06,4.2,8.87,1083,919,1686,1072,627,CAMERA
0.39,7.65,6.47,1167,1298,126,1395,-4.51,4.2,9.38,1085,1071,1694,1078,629,CAMERA
0.86,8.28,6.35,1154,1284,127,1388,-4.75,4.71,9.26,1085,1007,1685,1072,630,CAMERA
0.9,7.57,6.08,1161,1280,128,1378,-4.28,3.88,8.79,1082,900,1687,1071,626,CAMERA
0.24,6.79,5.33,1155,1274,127,1403,-2.31,4.39,8.63,1097,1140,1700,1078,630,CAMERA
-0.2,6,4.79,1183,1306,114,1403,-2.9,4.08,7.02,1102,1287,1699,1081,632,CAMERA
2.51,5.06,5.18,1159,1293,129,1387,-5.06,3.41,5.49,1088,1295,1693,1081,629,CAMERA
4.9,5.06,6.04,1157,1297,128,1374,-7.69,2.86,4.79,1088,1295,1697,1084,631,CAMERA
8.32,3.61,8.2,1176,1285,128,1377,-10.98,1.53,5.41,1088,1306,1690,1083,629,CAMERA
9.1,2.63,9.34,1141,1275,125,1383,-9.96,0.2,6.04,1072,1295,1685,1077,628,CAMERA
7.65,0.12,9.34,1153,1283,128,1384,-8.83,-1.37,7.18,1078,1303,1691,1075,633,CAMERA
