X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
11.45,2.16,0.55,1146,1296,96,0,1392,-9.1,1.1,-0.12,969,1136,1610,1015,841,CAR
12.24,1.92,0.51,1150,1270,97,0,1379,-7.49,1.37,0,962,1133,1623,1023,453,CAR
12.08,1.92,0.43,1165,1279,95,0,1382,-6.83,1.41,0.55,971,1133,1606,1008,452,CAR
11.1,1.69,0.59,1175,1283,98,0,1381,-8.08,1.57,0.31,969,1148,1605,1010,447,CAR
9.22,2.2,0.51,1153,1295,95,0,1405,-9.96,1.02,-0.27,967,1147,1607,1023,444,CAR
7.65,2.43,0.47,1158,1270,99,0,1382,-10.67,1.02,-0.35,965,1149,1609,1022,448,CAR
8.12,2.24,0.43,1153,1300,94,0,1389,-10.98,0.9,-0.24,972,1137,1607,1019,444,CAR
9.38,2.16,0.43,1177,1299,100,0,1377,-10.59,0.98,-0.39,976,1143,1606,1023,449,CAR
10.83,2.31,0.24,1161,1307,94,0,1399,-9.81,1.22,-0.24,976,1136,1617,1022,449,CAR
12.55,2.24,0.59,1168,1295,99,0,1403,-8.36,1.45,0.24,976,1139,1587,1019,445,CAR
12.32,2.31,0.86,1155,1275,97,0,1405,-7.77,1.02,0.24,967,1134,1611,1018,448,CAR
10.79,2.28,0.35,1168,1283,90,0,1387,-7.69,1.02,0.08,970,1136,1604,1011,448,CAR
8.59,2.47,0.39,1182,1280,79,0,1371,-8.75,1.29,0.31,970,1140,1616,1023,450,CAR
8.08,2.47,0.47,1178,1283,91,0,1376,-10.36,0.9,0.04,976,1142,1607,1023,448,CAR
8.43,2.31,0.24,1158,1290,94,0,1392,-10.79,0.98,-0.04,976,1138,1603,1015,448,CAR
9.18,2.47,0.39,1163,1301,94,0,1383,-10.75,0.9,-0.43,964,1138,1616,1016,448,CAR
10.36,2.28,0.55,1163,1276,96,0,1373,-10.2,1.14,-0.35,969,1141,1610,1023,450,CAR
10.63,2.16,0.31,1172,1305,94,0,1392,-9.61,0.98,0.08,973,1136,1607,1023,450,CAR
11.34,2.16,0.43,1166,1286,98,0,1383,-9.38,1.57,0.35,974,1136,1600,1015,450,CAR
12.28,2.28,0.86,1165,1290,91,0,1387,-7.57,1.61,0.75,969,1135,1610,1023,450,CAR
11.57,2.39,0.9,1159,1290,94,0,1387,-6.98,1.41,0.82,976,1137,1605,1009,452,CAR
9.53,2.35,0.12,1159,1310,92,0,1393,-8.75,0.86,-0.2,976,1136,1621,1023,448,CAR
8.36,2.51,0.2,1182,1287,100,0,1379,-10.04,0.86,-0.43,962,1142,1613,1023,449,CAR
7.88,2.67,0.43,1168,1283,96,0,1392,-10.79,0.9,-0.39,972,1136,1607,1023,448,CAR
8.55,2.63,0.43,1152,1296,92,0,1397,-10.79,0.82,-0.47,965,1138,1619,1018,449,CAR
9.89,2.39,0.43,1161,1283,95,0,1387,-10.24,0.59,-0.55,961,1147,1612,1021,448,CAR
10.55,2.04,0.51,1163,1280,96,0,1383,-9.65,0.98,-0.55,972,1139,1616,1019,452,CAR
