X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
4.47,-1.26,9.89,1181,1283,131,1378,-3.45,-3.14,10.16,1021,1328,1678,1090,774,DARK
3.69,-1.57,10,1180,1275,148,1378,-2.82,-3.84,10.94,1023,1339,1693,1095,915,DARK
4.12,-0.39,9.49,1179,1283,125,1381,-4.28,-2.82,9.81,1023,1341,1684,1090,991,DARK
6.83,-1.96,10.28,1173,1288,128,1376,-4.04,-2.51,10.51,1001,1330,1690,1095,858,DARK
7.18,0.59,11.73,1163,1289,130,1377,-7.34,-2.75,10.87,1008,1338,1702,1091,642,DARK
10.43,2.39,7.85,1167,1284,124,1392,-8.08,0.12,8.71,1014,1331,1692,1086,682,DARK
10,3.61,3.57,1168,1310,134,1378,-8.79,0.86,7.41,1011,1338,1681,1097,496,DARK
8.55,4.9,0.82,1158,1286,134,1389,-8.28,2.08,6.28,1002,1333,1683,1097,442,DARK
5.81,7.73,-0.27,1187,1278,127,1374,-7.34,4.47,6.67,1010,1295,1689,1087,560,DARK
4.24,9.14,-1.1,1163,1278,128,1406,-7.85,5.65,5.22,1062,1335,1685,1091,667,DARK
6.79,10.71,0.51,1161,1276,127,1379,-6.24,6.9,4.55,1014,1325,1691,1072,718,DARK
3.26,8.08,-1.96,1163,1285,130,1375,-8.2,7.65,3.61,1006,1325,1684,1072,806,DARK
1.14,8.28,-0.47,1153,1297,126,1391,-5.02,6.59,4.9,992,1333,1691,1086,874,DARK
1.53,8.75,1.29,1159,1292,127,1382,-4.86,7.14,5.96,1003,1344,1693,1073,770,DARK
0.35,6.35,2.75,1167,1289,128,1403,-2.35,5.37,6.59,1001,1328,1695,1079,693,DARK
-0.24,5.18,5.77,1179,1280,128,1385,-0.08,4.24,7.22,1009,1333,1683,1078,656,DARK
1.18,3.33,9.53,1173,1303,126,1386,0.2,2.94,9.38,1009,1337,1695,1072,533,DARK
-1.29,2.51,10.55,1167,1279,126,1382,0.71,1.65,10.71,986,1332,1689,1077,447,DARK
-0.2,1.49,9.81,1168,1303,126,1382,-0.59,0.82,11.92,1005,1327,1681,1076,566,DARK
-0.94,2.51,10.2,1168,1297,128,1383,-1.29,0.43,12.91,993,1341,1699,1097,651,DARK
-1.92,2.04,10.51,1159,1285,128,1395,0.51,0.51,12.24,1006,1331,1703,1086,701,DARK
-2.28,2.08,12,1171,1279,126,1396,0.55,0.47,12.91,993,1327,1691,1078,877,DARK
-2.04,1.88,12.04,1162,1277,128,1407,0.35,0.9,12.91,1003,1333,1703,1078,997,DARK
-1.26,1.77,10.51,1167,1292,125,1379,0.04,0.71,12.32,1002,1329,1683,1088,842,DARK
