X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
5.88,-2.86,11.73,1158,1280,118,1407,-4.59,-5.65,10.75,1045,1263,1694,1074,816,PHOTO
5.65,-1.37,13.89,1175,1287,127,1383,-9.14,-5.1,10.4,1040,1333,1693,1074,478,PHOTO
6.75,2.55,11.96,1189,1312,112,1391,-8.16,-3.02,8.47,1038,1387,1702,1082,479,PHOTO
6.32,4.98,8.24,1171,1284,123,1405,-8.63,-0.2,6.86,1051,1361,1707,1083,475,PHOTO
3.61,6,5.3,1156,1282,119,1377,-7.3,1.92,5.61,1040,1291,1701,1072,478,PHOTO
3.53,6.71,4.04,1157,1284,125,1387,-7.77,3.41,5.26,1050,1352,1699,1072,474,PHOTO
2.08,7.3,3.57,1165,1306,114,1394,-6.2,4.98,5.22,1045,1319,1696,1083,471,PHOTO
1.02,7.45,3.18,1160,1287,118,1407,-3.45,5.73,5.57,1051,1298,1710,1088,471,PHOTO
0.39,7.61,3.96,1167,1287,116,1381,-3.02,6.2,6.16,1040,1184,1691,1072,474,PHOTO
-0.24,7.81,4.51,1166,1279,122,1399,-2.43,7.3,6.63,1022,994,1698,1072,477,PHOTO
-1.02,8.2,4.43,1206,1291,130,1406,-1.73,7.81,6.55,1018,949,1679,1071,486,PHOTO
-0.94,8.9,4.82,1156,1296,125,1395,-2,8.51,6.39,1043,1131,1687,1084,479,PHOTO
-0.82,8.51,5.14,1160,1291,123,1386,-2.75,8.24,6.79,1034,971,1682,1077,483,PHOTO
-1.45,7.41,3.77,1187,1283,125,1387,-2.28,7.1,5.73,1039,981,1687,1087,482,PHOTO
0.2,5.53,1.61,1171,1318,123,1383,-2.67,7.53,4.47,1022,1149,1680,1088,482,PHOTO
4.9,6.16,0.51,1158,1291,126,1393,-3.61,7.02,6.47,1023,1344,1683,1087,480,PHOTO
11.02,5.41,-2.2,1152,1287,126,1377,-3.41,5.57,10.24,1023,1306,1694,1086,481,PHOTO
10.51,3.33,-6.67,1154,1284,121,1377,0,3.53,11.73,991,1305,1686,1072,480,PHOTO
9.45,3.96,-8.43,1172,1309,128,1374,-0.39,3.18,12.71,999,1341,1695,1079,480,PHOTO
7.06,1.84,-7.1,1174,1297,130,1377,-0.51,2.63,12.24,993,1317,1697,1085,481,PHOTO
6,1.57,-7.53,1165,1294,129,1378,0.51,2.79,11.49,981,1290,1693,1078,484,PHOTO
5.41,1.14,-7.37,1157,1293,125,1393,0.51,2.86,11.81,974,1330,1691,1072,481,PHOTO
4.71,1.29,-8.16,1158,1282,123,1393,1.06,2.47,11.34,976,1350,1697,1070,483,PHOTO
5.69,0.67,-7.96,1168,1301,128,1375,-0.71,2.31,12.71,970,1379,1706,1069,483,PHOTO
4.39,0.98,-8.04,1171,1279,129,1376,1.92,2.04,11.61,974,1346,1689,1074,481,PHOTO
4.86,1.1,-8.08,1155,1280,127,1383,-2.86,2,11.02,993,1344,1710,1075,479,PHOTO
3.84,0.43,-9.06,1153,1282,123,1383,-1.22,2.98,10.04,998,1343,1700,1077,476,PHOTO
3.61,0.35,-8.43,1163,1314,127,1392,4.71,0.94,12,1004,1339,1699,1076,478,PHOTO
3.92,0.24,-8.51,1162,1285,128,1379,2.67,1.96,11.85,998,1359,1690,1072,477,PHOTO
4.9,1.33,-6.98,1153,1289,125,1386,-0.24,1.41,11.61,1014,1347,1709,1073,477,PHOTO
6.83,-0.39,-6.24,1178,1283,127,1392,0.04,1.06,8.71,998,1339,1689,1071,479,PHOTO
8.08,0.35,-3.96,1161,1285,125,1382,-0.04,1.96,8.94,1006,1359,1703,1072,484,PHOTO
9.89,1.22,-0.35,1177,1279,128,1395,-3.8,0.78,11.57,1031,1335,1690,1072,485,PHOTO
11.85,1.26,4.79,1159,1285,130,1385,-5.22,-1.18,11.3,1003,1346,1702,1071,483,PHOTO
8.32,0.86,6.79,1177,1300,129,1398,-4.04,-2.04,9.65,1008,1329,1689,1075,484,PHOTO
6.35,-0.82,9.92,1160,1288,128,1388,-4.47,-3.96,10.9,1008,1375,1687,1072,483,PHOTO
6.47,-1.57,14.91,1153,1286,117,1389,-4.86,-2.79,10.9,1007,1343,1683,1072,479,PHOTO
4.9,-2.67,9.53,1158,1289,128,1376,-3.06,-3.65,8.47,1018,1350,1691,1072,481,PHOTO
4.55,-1.92,9.57,1156,1293,129,1388,-3.1,-3.96,10.04,1018,1380,1698,1071,481,PHOTO
4.2,-1.8,9.92,1161,1283,128,1376,-3.45,-3.53,9.85,1014,1355,1691,1083,489,PHOTO
4.94,-1.88,9.89,1154,1286,126,1392,-3.61,-3.53,10,1023,1351,1694,1075,491,PHOTO
4.9,-1.8,9.77,1159,1301,124,1392,-3.53,-3.53,9.85,1015,1351,1702,1078,489,PHOTO
4.55,-1.96,9.89,1178,1283,128,1392,-3.22,-3.53,10.12,1009,1348,1683,1072,486,PHOTO
4.51,-2.04,10.67,1160,1296,121,1397,-5.61,-4.59,11.38,1023,1357,1697,1073,485,PHOTO
6.79,-1.33,13.45,1154,1287,125,1377,-9.49,-3.3,10.98,1022,1350,1687,1072,482,PHOTO
8.36,2.39,13.18,1178,1301,131,1375,-9.73,-0.9,8.2,1009,1347,1699,1088,482,PHOTO
7.57,4.24,9.38,1188,1306,126,1404,-9.96,1.33,5.37,1011,1334,1686,1075,483,PHOTO
5.14,4.67,5.84,1157,1287,128,1379,-7.92,3.1,3.88,1043,1346,1689,1073,481,PHOTO
3.06,5.57,4.12,1153,1287,128,1386,-5.1,4.67,4.16,1034,1337,1727,1074,482,PHOTO
1.1,7.14,2.86,1159,1289,123,1389,-4.12,5.26,5.49,1042,1340,1689,1072,490,PHOTO
0.16,7.88,3.18,1173,1298,125,1394,-2.82,5.69,6.39,1040,1342,1710,1085,493,PHOTO
-0.04,7.88,4,1157,1312,131,1378,-3.37,6.51,6.67,1037,1168,1709,1072,491,PHOTO
-0.82,8.12,4.51,1161,1285,127,1375,-2.67,7.26,7.45,1023,1003,1694,1099,487,PHOTO
-0.67,8.83,4.75,1178,1311,129,1390,-2.67,7.69,7.57,1040,1122,1691,1083,482,PHOTO
0,9.06,4.94,1149,1287,125,1394,-4.24,7.61,7.53,1053,1168,1685,1073,480,PHOTO
0,8.71,4.67,1175,1297,122,1392,-2.59,7.45,6.67,1040,978,1698,1070,480,PHOTO
-1.69,7.41,3.33,1161,1295,126,1394,-2.35,7.14,6.12,1038,1044,1701,1072,475,PHOTO
-0.35,5.45,0.94,1153,1280,127,1402,-2.39,7.06,4.82,1040,1257,1690,1079,485,PHOTO
6.43,5.73,-1.06,1151,1303,128,1381,-1.88,5.65,7.1,1045,1306,1695,1072,485,PHOTO
10.4,5.41,-3.37,1154,1290,128,1377,0.27,5.33,10.55,1054,1314,1691,1068,481,PHOTO
11.45,3.92,-6.28,1172,1297,123,1407,0.55,3.33,12.87,1052,1335,1694,1069,485,PHOTO
8.94,2.08,-8.24,1158,1315,125,1386,-0.04,3.33,12.51,1046,1335,1686,1072,485,PHOTO
6.79,1.22,-7.77,1163,1318,122,1378,3.14,1.8,12.71,1073,1339,1705,1079,487,PHOTO
5.22,1.02,-7.41,1158,1287,125,1377,0.2,1.73,13.49,1063,1348,1687,1069,483,PHOTO
4.82,0.78,-7.92,1169,1310,126,1406,2.98,1.65,11.38,1053,1351,1695,1072,482,PHOTO
4.71,0.9,-7.85,1168,1296,129,1393,1.37,1.57,11.49,1059,1361,1700,1070,484,PHOTO
4.9,1.26,-7.81,1172,1303,128,1386,-1.06,1.29,11.61,1058,1358,1691,1072,481,PHOTO
4.31,0.04,-9.1,1154,1285,124,1383,1.14,2.28,10.16,1061,1348,1696,1073,482,PHOTO
4.08,0.08,-8.75,1157,1295,126,1379,5.02,1.45,11.1,1058,1351,1687,1072,485,PHOTO
4.31,0.59,-7.81,1168,1257,127,1376,2.35,1.73,12.43,1047,1356,1690,1069,481,PHOTO
4.2,0.9,-7.49,1153,1282,131,1381,1.37,1.65,10.94,1059,1360,1691,1071,486,PHOTO
7.41,0.51,-6.35,1157,1289,127,1378,1.84,1.22,9.57,1054,1348,1701,1057,482,PHOTO
8.51,0.43,-4.39,1157,1289,128,1381,1.57,1.49,8.87,1057,1354,1705,1072,481,PHOTO
8.63,0.59,-2.75,1156,1287,127,1390,-0.55,0.27,10.36,1050,1345,1701,1067,485,PHOTO
10.83,1.8,1.33,1161,1285,131,1381,-2.39,-0.2,10.36,1053,1367,1707,1081,481,PHOTO
9.92,1.18,6.24,1165,1290,122,1381,-3.37,-1.14,11.45,1040,1351,1696,1075,485,PHOTO
7.18,-0.2,9.18,1152,1283,126,1382,-3.96,-2.63,12,1040,1357,1694,1072,481,PHOTO
5.41,-1.02,10.4,1155,1281,131,1389,-4.63,-2.75,11.1,1023,1351,1693,1070,484,PHOTO
4.31,-1.29,10.28,1168,1285,127,1379,-3.22,-4.35,11.34,1022,1346,1709,1078,486,PHOTO
4.47,-1.92,9.3,1152,1286,128,1378,-2.51,-3.92,9.49,1051,1358,1698,1075,490,PHOTO
4.31,-2,10.32,1175,1299,127,1380,-2.63,-4.12,10.12,1023,1349,1706,1071,490,PHOTO
4.86,-1.92,9.81,1169,1301,125,1405,-2.47,-3.92,10.16,1021,1351,1707,1072,487,PHOTO
4.86,-2.04,9.73,1145,1296,125,1379,-2.51,-3.96,10.16,1021,1331,1700,1070,487,PHOTO
4.86,-2.08,9.77,1163,1306,130,1378,-2.59,-3.88,10.08,1034,1345,1694,1070,482,PHOTO
4.82,-2,9.73,1159,1278,129,1376,-2.43,-4.12,10.2,1035,1355,1689,1074,481,PHOTO
4.9,-2.39,12.04,1156,1292,123,1380,-7.14,-6.55,13.65,1049,1357,1691,1073,480,PHOTO
6.51,-0.43,13.69,1152,1280,127,1380,-9.22,-2.31,11.26,1039,1321,1708,1074,477,PHOTO
6.86,3.18,11.96,1163,1296,129,1381,-7.53,-0.04,8.47,1040,1327,1691,1072,479,PHOTO
6.47,3.3,8.32,1161,1280,123,1382,-7.14,2.2,7.3,1053,1325,1696,1078,484,PHOTO
2.63,5.57,4.35,1159,1280,124,1407,-7.81,5.41,5.02,1061,1290,1696,1075,485,PHOTO
2.43,6.67,3.14,1168,1293,127,1377,-5.1,5.26,4.75,1061,1294,1692,1054,485,PHOTO
1.57,7.88,2.55,1175,1294,130,1408,-4.12,5.88,5.61,1062,1297,1709,1091,487,PHOTO
-0.59,7.92,2.75,1165,1305,124,1402,-2.67,6.39,6.59,1060,1297,1700,1077,489,PHOTO
-0.55,8.43,3.22,1161,1290,124,1377,-3.22,6.83,7.02,1053,1204,1689,1072,484,PHOTO
-0.43,8.51,3.8,1159,1285,128,1378,-2.9,7.49,7.3,1047,961,1694,1083,478,PHOTO
-0.67,9.06,3.92,1155,1276,126,1383,-2.55,7.69,7.14,1038,943,1686,1072,479,PHOTO
0.16,10,4.2,1187,1301,129,1406,-2.63,8.2,7.1,1049,1200,1690,1072,479,PHOTO
-0.08,9.18,4.51,1168,1293,127,1378,-2.86,8.04,7.18,1047,1069,1691,1073,475,PHOTO
-0.67,8.55,3.61,1147,1286,121,1392,-2.55,7.65,6.75,1046,975,1701,1073,484,PHOTO
-0.94,7.45,2.67,1168,1280,127,1392,-1.88,7.45,5.37,1047,1155,1695,1079,486,PHOTO
1.49,7.49,2.24,1165,1296,123,1383,-2,7.06,5.65,1061,1305,1699,1080,489,PHOTO
5.77,5.73,0.31,1157,1285,129,1381,-2.47,6.35,7.77,1063,1314,1695,1078,485,PHOTO
10.28,5.81,-1.57,1157,1293,129,1381,-1.88,5.53,10.12,1053,1306,1695,1072,483,PHOTO
10.51,4.04,-4.16,1162,1283,121,1386,-1.02,4.35,11.69,1093,1315,1687,1045,484,PHOTO
9.38,2.79,-6.04,1165,1304,130,1377,-0.27,3.57,11.61,1060,1333,1693,1083,482,PHOTO
8.08,1.8,-6.86,1163,1291,123,1384,-0.12,2.98,12.4,1061,1328,1687,1069,483,PHOTO
