X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
5.18,-2.59,12.36,1167,1274,127,1373,-4.82,-4.71,8.71,974,1335,1706,1117,1003,SWEET
11.85,-0.24,14.47,1163,1301,129,1379,-4.79,-4.59,8.51,969,1344,1702,1093,1041,SWEET
9.45,0.63,6.04,1170,1299,126,1397,-5.02,-4.55,8.59,978,1344,1712,1099,845,SWEET
7.37,1.41,3.1,1150,1290,123,1398,-4.67,-4.82,8.59,977,1330,1702,1103,773,SWEET
4.98,2.71,2.39,1155,1282,123,1381,-4.51,-4.79,8.83,974,1340,1710,1097,735,SWEET
7.14,4.51,1.73,1156,1277,121,1392,-4.63,-4.59,8.83,976,1337,1712,1088,497,SWEET
7.3,5.57,1.33,1159,1284,129,1374,-5.1,-4.59,8.67,963,1358,1711,1085,606,SWEET
7.22,5.73,1.14,1162,1297,124,1389,-4.9,-4.67,8.51,976,1345,1712,1104,790,SWEET
7.37,6,0.24,1159,1271,126,1373,-4.63,-4.67,8.71,976,1345,1711,1122,851,SWEET
7.85,6.16,1.22,1182,1294,126,1399,-4.63,-4.71,8.79,978,1345,1710,1099,956,SWEET
7.81,6.51,0.86,1184,1276,126,1375,-4.75,-4.67,8.71,981,1347,1705,1104,1090,SWEET
7.92,6.75,1.14,1152,1275,119,1399,-4.82,-4.71,8.67,977,1339,1710,1104,966,SWEET
7.37,6.12,2.55,1168,1303,128,1375,-4.86,-4.75,8.63,975,1343,1697,1121,797,SWEET
8.04,6.24,2.47,1151,1287,128,1375,-4.82,-4.59,8.79,986,1328,1699,1091,746,SWEET
7.92,6.16,2.86,1166,1281,127,1379,-4.9,-4.71,8.63,980,1346,1712,1104,586,SWEET
6.98,5.26,4.39,1160,1274,128,1391,-4.94,-4.63,8.67,975,1338,1703,1103,528,SWEET
6.86,4.55,5.26,1209,1289,126,1375,-4.71,-4.75,8.75,989,1362,1709,1104,706,SWEET
6.59,4.39,3.22,1152,1277,128,1375,-4.82,-4.67,8.67,994,1328,1709,1104,816,SWEET
7.61,3.18,5.49,1179,1300,130,1377,-4.86,-4.59,8.59,994,1349,1707,1104,859,SWEET
8.63,2.43,6.39,1177,1276,126,1397,-5.1,-4.67,8.59,973,1345,1723,1105,1011,SWEET
7.02,1.84,7.69,1155,1270,123,1378,-5.26,-4.71,8.63,976,1333,1712,1103,1066,SWEET
3.96,-0.08,9.18,1152,1276,127,1371,-4.71,-4.59,8.83,981,1332,1709,1099,867,SWEET
4.47,-0.51,11.38,1165,1302,123,1372,-4.75,-4.75,8.75,976,1340,1689,1098,769,SWEET
3.69,-1.77,12.24,1159,1284,122,1377,-4.9,-4.63,8.63,976,1339,1702,1101,731,SWEET
2.82,-0.86,10.75,1152,1280,119,1394,-4.94,-4.63,8.87,981,1333,1706,1104,490,SWEET
1.96,-2.12,11.14,1171,1280,122,1398,-4.55,-4.47,8.75,979,1340,1709,1099,557,SWEET
2.35,-2.2,9.85,1182,1309,134,1380,-4.82,-4.75,8.75,978,1340,1693,1105,761,SWEET
4.51,-2.2,11.38,1153,1293,125,1392,-4.35,-4.94,8.9,969,1325,1707,1104,834,SWEET
2.9,-2.43,9.73,1155,1283,129,1391,-4.47,-4.51,8.83,976,1365,1711,1104,863,SWEET
3.88,-2.43,10.32,1179,1276,122,1379,-4.71,-4.86,8.71,983,1328,1699,1106,1103,SWEET
3.3,-2.51,10.04,1181,1297,123,1373,-4.71,-4.79,8.75,987,1336,1698,1095,1013,SWEET
3.69,-2.28,10.08,1171,1296,124,1373,-4.51,-4.59,8.9,981,1334,1707,1108,817,SWEET
3.77,-2.35,9.96,1156,1293,129,1377,-4.43,-4.71,8.9,977,1347,1709,1114,747,SWEET
4.47,-2.43,10.63,1156,1280,117,1360,-4.55,-4.75,8.79,975,1329,1696,1090,649,SWEET
6.75,-4.08,11.77,1179,1275,126,1379,-4.67,-4.67,8.79,971,1346,1693,1082,495,SWEET
3.26,-1.02,13.65,1159,1312,124,1378,-5.02,-4.79,8.59,985,1328,1687,1097,625,SWEET
3.33,0.47,12.12,1168,1276,126,1377,-4.67,-4.47,8.94,980,1328,1691,1091,803,SWEET
4.9,1.69,7.57,1163,1296,115,1385,-4.47,-4.86,8.83,976,1340,1711,1104,855,SWEET
7.34,2.75,4.39,1086,1279,119,1377,-4.55,-4.71,8.83,977,1344,1712,1104,1033,SWEET
5.53,4.43,4,1163,1278,133,1385,-4.63,-4.67,8.79,987,1339,1703,1103,1104,SWEET
5.96,5.22,3.06,1172,1302,137,1396,-4.86,-4.51,8.87,965,1339,1706,1099,923,SWEET
6.24,5.57,3.1,1165,1253,125,1379,-4.71,-4.71,8.71,977,1343,1707,1103,783,SWEET
6.83,6.28,3.22,1183,1294,130,1383,-4.55,-4.71,8.75,977,1340,1713,1115,733,SWEET
6.67,6.16,3.84,1165,1301,130,1372,-4.71,-4.63,8.9,974,1334,1707,1091,560,SWEET
7.37,6.79,3.37,1168,1290,122,1370,-4.75,-4.75,8.75,967,1337,1703,1104,508,SWEET
6.75,6.47,2.63,1157,1295,122,1375,-4.75,-4.71,8.75,988,1338,1707,1126,730,SWEET
7.96,6.32,4.47,1154,1277,124,1392,-4.79,-4.63,8.79,978,1338,1709,1105,830,SWEET
7.57,5.77,4.12,1161,1283,126,1375,-4.71,-4.67,8.75,979,1342,1712,1099,865,SWEET
7.53,6,4.35,1179,1276,122,1399,-4.79,-4.59,8.79,983,1336,1712,1103,1133,SWEET
7.14,5.22,4.67,1145,1274,127,1373,-4.71,-4.79,8.83,973,1339,1705,1109,1054,SWEET
7.18,5.14,4.08,1168,1301,130,1376,-4.71,-4.63,8.79,976,1337,1709,1102,840,SWEET
6.67,5.33,3.65,1158,1280,126,1363,-4.79,-4.59,8.79,974,1345,1712,1102,767,SWEET
7.45,4.31,4.98,1186,1290,129,1385,-4.75,-4.51,8.67,978,1335,1695,1089,728,SWEET
6.63,2.98,6.12,1158,1281,122,1390,-4.82,-4.59,8.87,977,1333,1713,1092,486,SWEET
7.57,3.1,7.69,1158,1278,125,1375,-4.86,-4.59,8.71,979,1331,1689,1104,592,SWEET
4.24,2.51,8.39,1169,1300,128,1375,-4.67,-4.67,8.79,983,1343,1712,1104,784,SWEET
5.53,0.75,9.85,1172,1298,129,1392,-4.71,-4.71,8.79,979,1329,1712,1108,853,SWEET
5.1,-1.41,10.16,1162,1302,125,1381,-4.79,-4.67,8.67,978,1337,1712,1116,964,SWEET
5.57,-2.12,11.69,1161,1277,123,1375,-4.75,-4.63,8.71,976,1339,1709,1096,1099,SWEET
3.06,-1.1,10.12,1153,1282,128,1398,-4.94,-4.63,8.75,1008,1341,1692,1104,960,SWEET
2.71,-2.43,10.51,1155,1278,126,1378,-4.71,-4.67,8.71,977,1340,1709,1104,794,SWEET
