X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
5.61,-2.51,10.59,1153,1309,127,1365,-5.02,-5.73,8.28,1004,1338,1700,1115,909,TABLE
5.65,-1.06,12.36,1152,1273,127,1402,-5.18,-5.92,9.65,1004,1323,1690,1106,387,TABLE
4.35,-0.39,11.34,1178,1309,127,1383,-5.81,-5.18,9.77,1006,1332,1686,1107,386,TABLE
3.53,0.47,10.43,1161,1297,129,1379,-5.88,-4.82,9.69,1010,1327,1684,1104,388,TABLE
3.02,1.92,9.85,1175,1271,127,1401,-6.16,-3.53,9.49,1019,1326,1691,1104,386,TABLE
3.02,3.61,10.28,1154,1292,131,1378,-5.14,-2,9.77,1002,1325,1702,1120,386,TABLE
1.8,4.35,8.47,1152,1278,128,1391,-5.06,-0.12,10.47,1008,1324,1701,1121,394,TABLE
0.71,3.92,8.04,1157,1278,125,1376,-3.61,0.35,9.38,998,1320,1699,1116,394,TABLE
0.04,4.28,7.61,1161,1283,126,1377,-1.69,1.29,8.36,1008,1334,1687,1105,391,TABLE
0.43,5.26,7.65,1160,1286,126,1375,-0.71,2.04,9.26,987,1327,1687,1106,390,TABLE
-0.63,5.69,8.75,1168,1318,131,1390,-1.69,1.96,10.47,990,1334,1686,1103,389,TABLE
0.63,6.2,8.55,1169,1286,126,1407,-1.88,2.47,11.38,995,1324,1683,1107,390,TABLE
1.22,6.24,8.28,1157,1296,131,1381,-2.75,2.67,11.14,997,1330,1702,1111,387,TABLE
1.45,6.75,7.85,1178,1271,127,1392,-3.88,2.86,10.47,991,1331,1696,1106,387,TABLE
2.39,6.83,7.3,1164,1282,128,1381,-4.12,4,8.59,1009,1334,1689,1106,396,TABLE
7.06,7.92,4.04,1153,1275,133,1393,-6.24,5.02,6.79,1006,1323,1686,1132,391,TABLE
6.71,6.86,2.75,1189,1294,126,1374,-7.92,5.69,6.47,1001,1321,1685,1101,395,TABLE
6.67,5.18,2.55,1179,1312,131,1385,-6.98,4.71,5.53,1006,1328,1699,1116,397,TABLE
6.43,5.3,2.43,1162,1282,121,1374,-6.43,3.65,5.1,992,1331,1696,1117,394,TABLE
7.18,4.94,2.59,1178,1273,128,1379,-7.41,3.37,4.94,1003,1327,1680,1115,394,TABLE
9.57,4.51,2.39,1168,1305,131,1389,-7.96,2.67,4.43,1004,1331,1683,1111,397,TABLE
10.12,3.57,3.14,1151,1284,130,1379,-9.45,2.51,3.65,1012,1319,1683,1110,394,TABLE
11.92,4.12,3.02,1166,1311,131,1392,-10.94,2.16,3.22,1008,1330,1687,1117,389,TABLE
10.79,3.37,2.59,1165,1292,125,1372,-10.98,1.65,3.33,998,1319,1680,1106,394,TABLE
9.89,2.79,2.28,1152,1279,128,1406,-10.04,1.1,3.14,1002,1322,1685,1118,396,TABLE
9.81,2.59,2.67,1171,1288,129,1392,-9.45,1.1,2.63,1006,1329,1696,1107,395,TABLE
9.18,2.55,3.02,1175,1309,127,1390,-9.53,0.94,2.79,1008,1317,1679,1114,400,TABLE
7.69,2.47,3.84,1152,1271,132,1408,-8.75,0.86,2.94,989,1326,1686,1121,400,TABLE
8.04,3.3,6.04,1185,1275,128,1389,-7.77,0.08,3.22,999,1319,1680,1107,394,TABLE
6.12,2.24,7.57,1156,1298,128,1381,-6.16,-0.55,6,979,1322,1681,1122,395,TABLE
5.33,-0.24,9.49,1152,1286,128,1379,-5.96,-2,6.67,987,1326,1700,1104,396,TABLE
4.63,0.08,10.55,1154,1277,125,1388,-7.06,-2.63,9.41,992,1325,1689,1106,391,TABLE
3.26,-1.29,10.83,1154,1281,132,1410,-6.08,-4.28,9.49,997,1314,1706,1110,393,TABLE
3.41,-2.24,10.98,1165,1285,125,1381,-5.65,-4.51,10.08,995,1342,1693,1104,394,TABLE
4.67,-0.94,13.81,1182,1296,128,1379,-6.32,-4.71,10.98,989,1330,1686,1104,395,TABLE
4,-2.31,9.41,1151,1279,134,1392,-4.94,-6.55,9.02,1008,1323,1696,1107,397,TABLE
2.82,-3.61,10.43,1149,1286,147,1374,-3.02,-6,9.34,982,1333,1702,1103,393,TABLE
3.14,-2.86,10.08,1152,1290,131,1381,-2.31,-5.61,9.14,991,1328,1693,1120,395,TABLE
3.26,-2.75,10.16,1168,1293,128,1405,-2.94,-5.45,9.22,991,1319,1703,1104,390,TABLE
3.14,-2.94,10.16,1168,1267,125,1378,-2.94,-5.41,9.18,998,1312,1684,1100,394,TABLE
3.14,-2.9,10.04,1168,1287,123,1375,-3.02,-5.49,9.14,977,1327,1683,1109,395,TABLE
3.22,-2.79,10.16,1151,1275,138,1409,-3.1,-5.53,9.26,991,1324,1700,1110,391,TABLE
3.45,-2.79,10.24,1168,1290,128,1377,-2.31,-5.41,9.22,995,1318,1707,1119,392,TABLE
3.88,-2.51,10.36,1178,1297,128,1388,-3.88,-5.53,8.87,1001,1327,1682,1118,393,TABLE
5.92,-2.31,11.73,1157,1281,131,1382,-5.18,-5.33,9.06,995,1330,1697,1118,392,TABLE
4.04,-1.61,12.55,1152,1290,129,1376,-7.18,-5.45,10.16,1003,1328,1686,1107,392,TABLE
3.33,-1.57,12.47,1163,1307,131,1387,-5.81,-5.02,9.89,993,1322,1682,1110,396,TABLE
2.08,0.67,10.94,1157,1307,134,1396,-6,-4.16,10.2,988,1328,1702,1114,395,TABLE
3.06,2.04,10.12,1153,1279,130,1397,-5.45,-2.82,9.89,1003,1323,1681,1106,397,TABLE
1.88,3.22,8.75,1177,1317,128,1389,-5.26,-1.96,10,994,1335,1699,1108,398,TABLE
0.86,3.18,8.71,1155,1270,127,1399,-4.12,-0.39,9.77,1006,1339,1685,1104,395,TABLE
-0.08,3.37,7.69,1152,1275,135,1403,-2.51,0.35,9.26,995,1323,1696,1120,395,TABLE
-1.02,4.04,7.18,1168,1297,129,1388,-1.61,1.37,8.59,997,1307,1692,1104,390,TABLE
-1.26,5.37,8.12,1150,1291,136,1392,0.2,2.59,9.02,994,1329,1683,1117,392,TABLE
-1.61,5.84,8.9,1162,1291,122,1406,-0.35,2.28,11.02,987,1317,1682,1117,391,TABLE
-0.82,6.32,8.94,1162,1276,128,1391,-1.18,2.51,11.3,1008,1327,1699,1109,394,TABLE
-0.35,6,8.55,1152,1296,126,1376,-2.28,2.24,11.65,997,1313,1686,1109,400,TABLE
1.29,6.55,7.81,1166,1283,129,1397,-3.22,2.67,10.51,993,1330,1686,1105,399,TABLE
1.84,6.67,7.73,1155,1309,128,1378,0.33,3.69,9.3,1004,1319,1683,1121,400,TABLE
2.08,6.16,6.28,1152,1280,129,1378,-3.37,4.12,8.2,1008,1331,1683,1104,400,TABLE
5.96,6.98,4.75,1152,1279,128,1375,-8.47,3.77,7.81,1010,1328,1682,1107,399,TABLE
8.59,5.88,3.8,1158,1287,128,1373,-7.57,4.39,6.59,1002,1323,1685,1114,396,TABLE
7.37,5.14,3.41,1157,1281,128,1406,-7.69,3.49,5.61,999,1328,1687,1107,397,TABLE
6.39,4.82,3.45,1175,1279,130,1388,-6.39,3.1,4.67,1003,1324,1682,1126,399,TABLE
7.88,4.47,3.61,1152,1280,129,1381,-6.55,2.55,4.59,1008,1322,1698,1120,398,TABLE
8.94,4.75,4.59,1154,1294,123,1380,-8.67,1.96,5.14,997,1323,1687,1111,399,TABLE
9.73,2.79,4.71,1152,1289,130,1379,-9.61,1.41,5.77,1020,1327,1682,1113,400,TABLE
11.61,3.18,4.94,1151,1280,128,1386,-10.2,1.37,5.92,1002,1327,1695,1123,400,TABLE
11.02,2.71,5.1,1148,1287,128,1386,-11.14,0.86,5.88,997,1325,1691,1111,400,TABLE
9.65,2.55,4.47,1168,1302,131,1377,-9.69,0.43,5.3,991,1331,1686,1117,400,TABLE
8.94,2.16,4.12,1166,1290,126,1379,-8.83,0.39,4.75,1003,1319,1680,1121,400,TABLE
8.98,2.43,4,1166,1306,132,1376,-8.71,0.39,4.63,1008,1328,1699,1117,394,TABLE
8.36,1.69,3.45,1157,1303,126,1381,-8.08,0.24,4.47,1008,1316,1682,1121,396,TABLE
7.53,2.55,4.47,1157,1271,128,1388,-8.79,-0.71,4.43,994,1326,1680,1123,394,TABLE
7.3,1.73,7.1,1182,1296,126,1372,-6.63,-0.16,6.24,1040,1333,1697,1108,397,TABLE
5.77,1.06,8.79,1154,1285,131,1403,-6.35,-1.84,8.16,1008,1325,1701,1111,398,TABLE
5.22,0.39,10.47,1173,1287,128,1375,-4.94,-2.47,9.34,999,1328,1699,1110,398,TABLE
3.92,-0.16,11.18,1155,1273,135,1381,-4.63,-3.57,9.81,991,1327,1685,1107,397,TABLE
2.39,-1.88,11.26,1177,1296,140,1379,-4.08,-4.28,9.89,998,1330,1697,1119,399,TABLE
1.1,-3.02,9.92,1158,1286,126,1375,-4.2,-5.06,10.2,994,1338,1690,1119,397,TABLE
1.33,-2.24,12.63,1175,1280,128,1389,-3.53,-5.06,9.41,1001,1325,1690,1108,399,TABLE
2.75,-3.3,9.22,1166,1283,128,1408,-3.88,-5.41,11.57,1008,1317,1680,1115,399,TABLE
1.22,-3.57,10.16,1187,1295,128,1392,-3.37,-6.08,9.41,993,1325,1686,1104,396,TABLE
1.96,-3.45,10.16,1168,1293,128,1390,-3.37,-6.04,9.22,999,1322,1701,1107,394,TABLE
1.96,-3.33,10.36,1185,1300,133,1371,-3.45,-5.49,8.94,1013,1330,1687,1107,399,TABLE
2,-3.37,10.28,1155,1293,134,1386,-3.3,-5.61,8.98,1008,1331,1708,1111,399,TABLE
2,-3.26,10.28,1159,1281,128,1399,-3.14,-5.53,8.83,1006,1328,1696,1106,397,TABLE
2.08,-3.26,10.36,1174,1283,131,1382,-3.73,-5.61,8.94,1004,1328,1680,1106,399,TABLE
1.69,-3.49,10.4,1154,1282,128,1392,-3.53,-5.65,8.9,999,1323,1683,1110,397,TABLE
3.41,-3.02,11.65,1161,1314,126,1376,-3.92,-5.65,9.34,994,1334,1695,1107,398,TABLE
4.67,-2.12,12.51,1113,1283,127,1390,-4.75,-5.69,10.12,1003,1328,1694,1114,399,TABLE
3.69,-0.82,11.1,1165,1289,132,1403,-5.26,-5.41,10.36,1011,1324,1696,1109,396,TABLE
2.55,-0.08,10.4,1178,1300,130,1373,-4.9,-4.63,9.89,999,1329,1696,1109,398,TABLE
2.12,1.18,10.63,1163,1315,130,1371,-4.2,-3.49,9.92,1008,1325,1697,1109,395,TABLE
3.61,2.75,10.43,1162,1302,127,1372,-5.06,-2.39,10.59,997,1318,1689,1104,395,TABLE
3.06,3.84,9.45,1170,1280,129,1383,-5.14,-1.61,10.9,999,1328,1686,1111,395,TABLE
2.04,3.84,8.98,1169,1291,128,1385,-4.28,-0.47,10.51,1003,1328,1684,1109,399,TABLE
0.63,3.73,8.28,1156,1277,128,1392,-2.35,0.51,10,992,1323,1701,1111,400,TABLE
-1.14,4.08,7.34,1154,1288,131,1379,-0.98,1.69,8.94,1003,1325,1695,1104,399,TABLE
-0.16,5.14,8.24,1168,1281,136,1387,0.24,2.31,8.87,1015,1334,1686,1104,400,TABLE
-0.94,5.69,9.49,1152,1293,135,1371,0.35,2.24,11.26,1009,1332,1691,1114,400,TABLE
1.02,5.61,8.43,1173,1291,128,1407,-0.35,2.2,11.96,1008,1335,1692,1106,397,TABLE
2.55,6.9,7.96,1141,1286,128,1392,-2.79,2.9,10.55,1008,1342,1682,1119,397,TABLE
5.14,6.47,7.61,1173,1284,127,1387,-6.35,4.24,8.75,990,1328,1681,1105,397,TABLE
1.69,6.04,6.75,1181,1289,129,1380,-4.55,4.35,8.47,990,1328,1681,1099,399,TABLE
4.86,6.28,6.04,1152,1282,128,1403,-4.51,4,8.08,1006,1325,1694,1113,398,TABLE
7.49,6.51,5.1,1186,1293,120,1407,-7.02,4.47,7.88,1003,1322,1700,1120,399,TABLE
