X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
3.61,-2.71,10.04,1171,1297,128,1374,-9.06,-1.65,3.8,979,1290,1706,1088,738,TREE
3.53,-2.63,10.12,1157,1282,126,1376,-8.79,-0.31,3.1,983,1300,1681,1091,624,TREE
3.45,-2.71,10.04,1185,1280,128,1377,-10.59,0.9,1.88,986,1295,1693,1092,619,TREE
3.57,-2.75,10.08,1154,1312,130,1371,-8.83,1.69,1.96,982,1296,1699,1100,618,TREE
3.61,-2.86,10,1183,1286,139,1374,-8.32,2.67,1.22,978,1305,1708,1091,619,TREE
3.26,-2.82,9.92,1190,1288,126,1384,-7.06,3.88,1.41,1008,1310,1683,1102,620,TREE
3.37,-2.98,10,1158,1296,127,1382,-7.73,3.88,1.61,997,1305,1696,1093,619,TREE
3.53,-3.14,10,1157,1282,134,1391,-8.43,4.35,1.37,1130,1303,1698,1093,614,TREE
3.37,-2.94,10,1169,1280,130,1398,-9.22,4.08,1.53,1086,1310,1696,1095,618,TREE
3.69,-2.86,10.08,1167,1283,128,1392,-8.71,4.04,1.88,1154,1307,1709,1106,613,TREE
4,-2.86,9.92,1171,1296,134,1377,-8.12,3.61,2.04,1119,1312,1712,1103,613,TREE
3.18,-2.67,10,1183,1281,132,1403,-8.04,1.84,2.39,999,1322,1712,1097,617,TREE
4.43,-2.94,10.12,1151,1287,132,1374,-8.83,1.84,0.63,997,1319,1695,1103,615,TREE
4.51,-3.26,10.08,1152,1301,130,1393,-8.83,1.61,0.12,1009,1313,1703,1089,619,TREE
5.1,-2.75,9.85,1171,1290,124,1382,-11.77,-0.04,-0.04,1008,1325,1694,1099,618,TREE
6.51,-2.2,9.18,1155,1287,130,1390,-10.55,-0.12,1.57,1000,1316,1711,1099,615,TREE
5.53,-0.9,8.51,1168,1285,130,1389,-9.57,-0.27,2.31,997,1308,1711,1104,615,TREE
8.83,2.43,8.83,1165,1281,128,1379,-10.94,0.08,2.79,999,1323,1691,1097,616,TREE
9.1,4.04,6,1168,1287,125,1375,-11.26,1.49,3.41,1003,1315,1706,1094,610,TREE
8.24,4.82,5.37,1152,1312,128,1369,-9.85,2.63,3.18,1001,1318,1696,1089,610,TREE
7.77,6.67,4.43,1168,1297,130,1369,-10.28,3.18,3.88,978,1328,1698,1091,610,TREE
7.3,7.41,3.84,1177,1280,133,1404,-8.94,5.06,3.61,985,1326,1712,1082,611,TREE
6,8.08,2.55,1159,1287,131,1393,-7.77,6.39,3.33,975,1319,1695,1089,613,TREE
4.94,8.67,1.92,1150,1296,127,1369,-7.45,7.22,3.22,991,1331,1685,1092,612,TREE
4,8.94,1.33,1180,1282,128,1392,-6.83,7.57,2.47,972,1328,1711,1093,614,TREE
2.43,8.55,1.26,1168,1296,127,1378,-5.02,7.92,2.35,987,1314,1689,1088,613,TREE
2.71,7.53,0.27,1152,1281,128,1383,-3.96,8.43,1.45,976,1325,1696,1087,613,TREE
1.69,8.2,-1.02,1162,1282,128,1374,-3.69,7.69,0.04,994,1323,1710,1090,613,TREE
1.26,9.26,-0.55,1179,1286,135,1391,-2.47,7.92,-0.63,990,1321,1696,1093,613,TREE
1.45,9.49,-0.27,1154,1312,129,1392,-3.22,9.26,-0.04,995,1320,1695,1101,613,TREE
1.73,8.51,0.2,1176,1281,128,1383,-2.86,9.06,0.12,993,1328,1698,1093,610,TREE
2.04,6.24,1.33,1179,1296,130,1367,-2.9,7.37,1.84,1004,1316,1694,1091,613,TREE
3.88,5.69,2.75,1159,1280,129,1377,-3.45,4.67,3.33,991,1315,1696,1091,609,TREE
6.04,5.61,4.94,1178,1300,128,1376,-5.88,5.22,4.55,1003,1323,1699,1093,618,TREE
7.18,5.33,7.49,1157,1282,128,1389,-8.28,3.96,6.35,1003,1326,1709,1088,615,TREE
6.94,4.08,8.94,1152,1292,129,1385,-8.55,2.47,8.63,993,1316,1690,1088,614,TREE
6.47,2.51,10,1159,1295,131,1403,-8.47,1.18,10.28,1007,1322,1699,1093,611,TREE
6.28,1.14,10.43,1170,1280,127,1399,-6.08,-0.63,9.14,994,1323,1693,1088,612,TREE
5.14,-0.43,11.77,1166,1283,128,1382,-4.71,-2.75,9.41,995,1319,1709,1091,611,TREE
4.59,-0.71,12.12,1179,1284,130,1387,-5.02,-3.57,10.63,1021,1315,1707,1098,609,TREE
3.61,-1.92,8.67,1152,1283,135,1381,-4.04,-3.77,9.85,1008,1325,1695,1098,610,TREE
5.22,-1.8,10.08,1155,1290,133,1381,-4.59,-3.84,9.34,1005,1321,1711,1104,611,TREE
4.39,-2.31,9.85,1151,1280,130,1379,-3.61,-4.79,9.96,1003,1328,1687,1091,615,TREE
4.16,-1.96,10,1178,1291,129,1387,-2.75,-5.22,9.73,1014,1323,1708,1094,615,TREE
4.31,-2,9.96,1185,1282,129,1395,-3.22,-4.35,9.65,1009,1328,1705,1098,618,TREE
4.31,-1.96,9.85,1164,1299,129,1370,-2.67,-4.86,9.65,1009,1328,1693,1102,621,TREE
4.2,-2.04,9.89,1157,1294,135,1399,-3.3,-4.82,10.12,1006,1325,1696,1110,615,TREE
4.39,-1.8,9.92,1152,1299,126,1404,-6.9,-3.22,9.65,1001,1323,1702,1089,615,TREE
4.28,-1.96,9.92,1158,1286,128,1383,-8.55,-2.75,7.49,999,1323,1697,1091,615,TREE
4.47,-2.08,9.85,1158,1280,132,1390,-9.96,-1.61,5.57,990,1319,1695,1099,613,TREE
4.75,-1.73,9.89,1157,1293,133,1373,-9.92,-0.04,3.53,997,1325,1697,1088,612,TREE
4.55,-1.84,9.85,1157,1282,137,1375,-8.04,1.8,2.31,992,1313,1715,1094,612,TREE
4.39,-2,9.96,1166,1275,138,1407,-7.53,3.06,1.73,1003,1311,1689,1099,613,TREE
4.39,-2,9.81,1185,1275,127,1402,-7.81,3.88,1.77,1006,1319,1700,1107,615,TREE
4.59,-1.88,9.85,1155,1308,126,1397,-7.73,4.31,1.96,1001,1323,1705,1079,618,TREE
4.67,-1.96,9.77,1168,1266,128,1374,-7.88,4.12,1.88,1019,1313,1693,1101,618,TREE
4.59,-2,9.77,1181,1274,125,1376,-8.08,4.28,1.77,1003,1334,1711,1091,617,TREE
4.67,-1.88,9.77,1174,1296,126,1399,-8.94,3.88,1.77,1104,1338,1689,1099,615,TREE
4.55,-1.96,9.81,1153,1282,134,1375,-8.47,4,1.77,1107,1337,1702,1100,618,TREE
4.51,-1.96,9.85,1181,1293,128,1373,-9.22,4.08,1.57,1033,1325,1710,1102,614,TREE
4.47,-1.96,9.85,1163,1297,133,1386,-8.59,3.8,1.92,1061,1314,1702,1118,611,TREE
4.43,-2.12,9.96,1178,1282,128,1407,-8.67,3.45,2.24,1072,1326,1708,1105,614,TREE
4.94,-1.8,10.04,1173,1279,128,1365,-8.63,1.92,2.12,994,1333,1695,1098,613,TREE
6.94,-2.39,10.2,1154,1318,128,1373,-9.41,2.24,1.65,992,1329,1689,1104,610,TREE
5.1,-1.53,10.28,1178,1285,130,1376,-8.04,1.61,1.61,998,1323,1703,1104,614,TREE
5.92,-1.1,8.98,1168,1280,125,1371,-10.75,0.27,2.75,1002,1326,1707,1095,614,TREE
6.43,0.43,7.88,1150,1299,129,1377,-8.51,-0.43,4.98,999,1335,1691,1098,613,TREE
6.24,0.78,7.53,1178,1296,126,1390,-10.04,0.04,6.67,1008,1328,1692,1103,611,TREE
7.06,1.69,7.45,1171,1299,128,1373,-8.59,-0.24,6.75,1001,1328,1693,1102,610,TREE
7.41,2.08,7.96,1165,1301,126,1379,-9.3,0.04,7.57,999,1334,1706,1098,609,TREE
7.81,3.41,8.36,1168,1307,128,1367,-8.71,0.47,8.04,1007,1332,1686,1095,609,TREE
8,4.51,6.83,1177,1273,128,1366,-8.94,0.82,7.92,998,1334,1712,1088,609,TREE
8.47,7.14,5.49,1161,1305,128,1370,-10.32,3.14,7.57,997,1330,1694,1088,611,TREE
7.49,7.22,4.04,1157,1283,128,1392,-9.02,3.65,5.92,1007,1328,1697,1094,613,TREE
6.24,7.92,3.1,1162,1291,134,1382,-8.47,4.75,4.43,998,1319,1711,1091,611,TREE
5.37,8.43,3.02,1173,1280,129,1370,-7.77,6.35,4.28,991,1318,1710,1099,611,TREE
4.79,8.51,1.77,1152,1275,131,1376,-5.49,7.02,2.9,1007,1328,1694,1104,614,TREE
3.37,7.77,0.39,1168,1283,129,1373,-5.06,7.81,1.57,1006,1328,1696,1097,613,TREE
2.67,8.87,0.75,1168,1283,131,1367,-4.2,7.88,0.59,991,1331,1697,1098,613,TREE
1.92,8.43,-0.35,1152,1301,138,1370,-3.61,8.12,0.55,991,1319,1694,1104,611,TREE
1.88,8.28,-1.02,1155,1285,125,1393,-3.1,8.08,-1.18,990,1322,1706,1095,612,TREE
1.8,9.26,-0.75,1162,1311,128,1367,-3.57,8.75,-0.75,999,1318,1695,1104,611,TREE
1.53,9.02,-0.59,1143,1275,128,1375,-3.06,9.06,-0.71,995,1328,1692,1105,610,TREE
1.92,9.61,0.24,1154,1279,130,1385,-3.53,9.26,-0.16,987,1326,1697,1104,617,TREE
2.43,8.94,0.82,1169,1279,128,1378,-3.49,8.94,0.86,995,1329,1696,1088,613,TREE
2.63,7.57,1.57,1153,1292,128,1381,-3.88,7.61,2.24,993,1310,1698,1098,611,TREE
3.61,7.34,2.04,1163,1309,142,1402,-4.75,6.63,4.24,991,1317,1694,1107,610,TREE
1.41,5.14,3.37,1165,1278,123,1367,-4.75,6.04,4.98,1009,1317,1698,1104,608,TREE
6.55,5.3,4.9,1168,1286,126,1373,-6.2,4.31,6.16,1020,1336,1717,1093,609,TREE
7.14,4.9,6.39,1178,1277,128,1375,-6.47,2.9,8.2,1008,1318,1699,1091,609,TREE
8.43,3.73,8.08,1171,1296,133,1378,-7.49,1.33,9.18,1013,1328,1701,1091,608,TREE
5.26,2.39,8.47,1157,1282,130,1374,-7.26,0.9,9.22,1005,1334,1707,1103,607,TREE
7.18,1.69,8.9,1167,1280,129,1379,-5.61,-0.71,9.22,998,1325,1691,1100,607,TREE
6.08,0.39,10.04,1159,1280,132,1392,-6.32,-1.8,10.94,999,1327,1712,1102,612,TREE
5.26,-1.65,9.81,1152,1309,125,1403,-5.49,-2.47,10.36,1008,1328,1707,1099,611,TREE
4.28,-0.63,9.53,1159,1300,119,1373,-4.86,-4.31,10.16,1015,1333,1707,1093,611,TREE
4.9,-0.75,10.43,1152,1291,132,1379,-6.28,-5.26,12.55,1023,1323,1675,1085,608,TREE
4.35,-2.24,10.12,1165,1278,125,1376,-3.41,-4.63,9.38,1013,1333,1705,1105,611,TREE
4.67,-1.92,9.85,1151,1306,128,1402,-3.41,-4.35,9.73,1011,1326,1693,1102,610,TREE
4.51,-1.8,9.81,1155,1307,126,1373,-3.61,-4.43,9.61,1009,1314,1687,1104,609,TREE
4.43,-1.88,9.89,1181,1285,130,1395,-3.1,-4.67,10.08,1023,1321,1702,1089,609,TREE
4.67,-1.69,9.81,1170,1278,131,1377,-7.61,-4.12,9.53,1016,1328,1697,1104,608,TREE
4.67,-1.69,9.85,1162,1288,126,1377,-9.22,-3.41,6.98,999,1329,1712,1094,607,TREE
4.43,-1.96,9.81,1166,1280,126,1375,-9.61,-2.16,4.75,992,1323,1693,1104,609,TREE
4.67,-1.84,9.85,1173,1277,126,1382,-8.51,0.08,3.18,997,1326,1706,1091,611,TREE
4.71,-1.8,9.81,1178,1279,126,1377,-8.39,0.24,2.79,994,1339,1693,1105,609,TREE
4.51,-1.92,9.85,1166,1289,131,1402,-8,1.96,1.65,1002,1329,1701,1089,610,TREE
4.59,-1.96,9.81,1161,1283,135,1379,-9.53,3.22,1.33,1014,1314,1715,1099,612,TREE
4.71,-1.84,9.89,1183,1282,125,1397,-8.83,2.98,1.96,1021,1330,1701,1104,608,TREE
4.63,-1.84,9.77,1163,1287,132,1383,-8.28,2.98,1.84,1009,1326,1695,1091,608,TREE
4.71,-1.92,9.81,1151,1282,128,1370,-8.16,2.82,1.61,1006,1330,1695,1102,606,TREE
4.67,-1.88,9.77,1153,1259,116,1392,-8.98,3.18,0.24,1072,1330,1707,1101,606,TREE
4.63,-1.84,9.81,1142,1282,128,1379,-9.96,2.24,1.61,995,1326,1695,1086,609,TREE
4.75,-1.8,9.89,1161,1291,128,1376,-8.75,3.3,0.27,1057,1328,1712,1104,608,TREE
4.55,-1.92,9.89,1183,1274,107,1373,-9.3,2.9,0.82,1040,1319,1696,1101,609,TREE
4.67,-1.84,9.81,1174,1296,129,1395,-9.06,2.98,0.86,1021,1313,1696,1099,608,TREE
4.63,-1.92,9.81,1155,1278,127,1377,-9.38,2.98,0.98,1069,1319,1712,1098,612,TREE
4.79,-1.96,9.85,1152,1295,129,1375,-8.39,2.12,1.26,1039,1327,1683,1098,609,TREE
4.35,-2.47,10.04,1161,1279,126,1394,-8.51,1.37,1.84,1012,1328,1701,1098,608,TREE
6.2,-1.45,9.96,1168,1279,125,1395,-8.2,1.88,0.16,1015,1319,1687,1109,606,TREE
7.61,-1.06,9.22,1154,1289,121,1375,-6.71,1.37,0.9,1019,1333,1712,1096,608,TREE
7.96,-0.31,8.32,1173,1280,128,1377,-10,-0.27,1.96,1017,1328,1697,1102,607,TREE
7.26,0.78,7.34,1159,1309,128,1405,-9.77,-0.31,3.73,999,1337,1707,1095,605,TREE
7.57,2.28,6.63,1153,1280,132,1373,-8.12,0.35,6.08,1022,1329,1669,1105,609,TREE
7.65,3.37,7.18,1171,1281,128,1390,-8.08,0.27,7.22,1019,1328,1694,1102,610,TREE
7.49,3.53,7.45,1157,1282,128,1385,-8.32,0.67,6.83,1013,1321,1691,1088,609,TREE
8.12,3.69,6.04,1157,1282,135,1377,-9.06,1.14,6.71,1008,1329,1697,1095,608,TREE
8.32,4.59,6.04,1168,1290,128,1374,-9.02,2.12,6.75,1007,1323,1700,1114,608,TREE
8.67,6.12,5.84,1175,1267,128,1375,-9.3,3.1,6.32,1033,1324,1697,1109,607,TREE
7.88,6.67,5.14,1159,1300,131,1383,-9.53,4.2,5.22,1023,1319,1691,1095,608,TREE
7.41,7.18,4,1152,1296,132,1403,-9.18,5.41,4.79,1001,1316,1706,1098,607,TREE
6.04,7.81,2.86,1166,1305,139,1402,-8.43,5.81,3.49,990,1323,1701,1103,605,TREE
5.81,8.08,1.84,1168,1302,129,1381,-7.26,6.94,2.31,1008,1312,1699,1103,607,TREE
3.8,8.67,2.08,1175,1307,124,1381,-6.08,7.41,1.73,1001,1315,1710,1101,609,TREE
3.45,8.94,1.61,1174,1287,134,1378,-4.94,7.57,1.8,998,1323,1705,1091,609,TREE
1.84,8.79,0.47,1155,1273,128,1367,-3.96,8,1.06,988,1319,1701,1098,611,TREE
1.49,8.39,-0.39,1157,1296,128,1395,-3.8,8.47,0.35,1011,1323,1687,1099,612,TREE
1.37,8.39,-0.47,1163,1278,131,1370,-3.53,8.24,-0.75,991,1328,1691,1105,608,TREE
1.41,9.14,-0.71,1175,1282,127,1379,-2.82,8.24,-1.1,991,1342,1711,1102,608,TREE
1.14,9.57,-0.39,1161,1302,128,1390,-2.98,8.94,-0.59,995,1329,1697,1107,609,TREE
1.33,8.71,0.94,1165,1300,135,1395,-3.3,9.22,0,983,1323,1694,1100,609,TREE
1.96,7.65,2.08,1150,1283,133,1375,-3.37,7.65,1.41,996,1341,1698,1104,608,TREE
2.86,7.14,3.73,1171,1289,121,1394,-4.47,7.61,3.33,991,1325,1712,1098,609,TREE
3.49,5.81,4.9,1155,1284,128,1387,-4.9,6.9,4.55,995,1327,1691,1095,609,TREE
5.53,5.92,6.35,1155,1294,128,1381,-5.84,5.33,6.28,1011,1328,1699,1088,608,TREE
